YEAR,JURISDICTION,LOCATION,AGE_GROUP,DETECTION_METHOD,FINES,DETECTION_GROUP
2023,ACT,Major Cities of Australia,40-64,Police issued,12,Police
2023,NSW,Inner Regional Australia,17-25,Police issued,55,Police
2023,NSW,Inner Regional Australia,26-39,Police issued,54,Police
2023,NSW,Inner Regional Australia,40-64,Police issued,43,Police
2023,NSW,Inner Regional Australia,65 and over,Police issued,6,Police
2023,NSW,Major Cities of Australia,17-25,Police issued,270,Police
2023,NSW,Major Cities of Australia,26-39,Police issued,335,Police
2023,NSW,Major Cities of Australia,40-64,Police issued,200,Police
2023,NSW,Major Cities of Australia,65 and over,Police issued,31,Police
2023,NSW,Outer Regional Australia,17-25,Police issued,6,Police
2023,NSW,Outer Regional Australia,26-39,Police issued,8,Police
2023,NSW,Outer Regional Australia,40-64,Police issued,9,Police
2023,NSW,Outer Regional Australia,65 and over,Police issued,1,Police
2023,NSW,Remote Australia,40-64,Police issued,1,Police
2023,NSW,Unknown,26-39,Police issued,1,Police
2023,NSW,Unknown,Unknown,Fixed or mobile camera,17080,Camera
2023,NT,Unknown,17-25,Police issued,3,Police
2023,NT,Unknown,26-39,Police issued,7,Police
2023,NT,Unknown,40-64,Police issued,8,Police
2023,NT,Unknown,65 and over,Police issued,3,Police
2023,SA,Unknown,0-16,Police issued,1,Police
2023,SA,Unknown,17-25,Police issued,106,Police
2023,SA,Unknown,26-39,Police issued,182,Police
2023,SA,Unknown,40-64,Police issued,117,Police
2023,SA,Unknown,65 and over,Police issued,20,Police
2023,SA,Unknown,Unknown,Police issued,0,Police
2023,TAS,Unknown,17-25,Police issued,27,Police
2023,TAS,Unknown,26-39,Police issued,63,Police
2023,TAS,Unknown,40-64,Police issued,28,Police
2023,TAS,Unknown,65 and over,Police issued,7,Police
2023,VIC,Inner Regional Australia,0-16,Police issued,1,Police
2023,VIC,Inner Regional Australia,17-25,Police issued,47,Police
2023,VIC,Inner Regional Australia,26-39,Police issued,55,Police
2023,VIC,Inner Regional Australia,40-64,Police issued,41,Police
2023,VIC,Inner Regional Australia,65 and over,Police issued,7,Police
2023,VIC,Major Cities of Australia,0-16,Police issued,1,Police
2023,VIC,Major Cities of Australia,17-25,Police issued,298,Police
2023,VIC,Major Cities of Australia,26-39,Police issued,654,Police
2023,VIC,Major Cities of Australia,40-64,Police issued,406,Police
2023,VIC,Major Cities of Australia,65 and over,Police issued,38,Police
2023,VIC,Outer Regional Australia,17-25,Police issued,7,Police
2023,VIC,Outer Regional Australia,26-39,Police issued,11,Police
2023,VIC,Outer Regional Australia,40-64,Police issued,9,Police
2023,VIC,Outer Regional Australia,65 and over,Police issued,3,Police
2023,VIC,Unknown,26-39,Police issued,2,Police
2023,VIC,Unknown,40-64,Police issued,1,Police
2023,WA,Unknown,0-16,Unknown,0,Unknown
2023,WA,Unknown,17-25,Police issued,72,Police
2023,WA,Unknown,17-25,Unknown,0,Unknown
2023,WA,Unknown,26-39,Police issued,178,Police
2023,WA,Unknown,26-39,Unknown,0,Unknown
2023,WA,Unknown,40-64,Police issued,123,Police
2023,WA,Unknown,40-64,Unknown,0,Unknown
2023,WA,Unknown,65 and over,Police issued,19,Police
2023,WA,Unknown,65 and over,Unknown,0,Unknown
2023,QLD,Unknown,Unknown,Fixed or mobile camera,77213,Camera
2023,QLD,Unknown,Unknown,Police issued,3079,Police
2023,ACT,Major Cities of Australia,17-25,Police issued,7,Police
2023,ACT,Major Cities of Australia,26-39,Police issued,8,Police
2023,ACT,Major Cities of Australia,40-64,Police issued,12,Police
2023,ACT,Major Cities of Australia,65 and over,Police issued,1,Police
2023,NSW,Inner Regional Australia,17-25,Police issued,48,Police
2023,NSW,Inner Regional Australia,26-39,Police issued,54,Police
2023,NSW,Inner Regional Australia,40-64,Police issued,61,Police
2023,NSW,Inner Regional Australia,65 and over,Police issued,4,Police
2023,NSW,Major Cities of Australia,17-25,Police issued,278,Police
2023,NSW,Major Cities of Australia,26-39,Police issued,423,Police
2023,NSW,Major Cities of Australia,40-64,Police issued,308,Police
2023,NSW,Major Cities of Australia,65 and over,Police issued,28,Police
2023,NSW,Outer Regional Australia,17-25,Police issued,4,Police
2023,NSW,Outer Regional Australia,26-39,Police issued,13,Police
2023,NSW,Outer Regional Australia,40-64,Police issued,10,Police
2023,NSW,Unknown,40-64,Police issued,1,Police
2023,NSW,Unknown,Unknown,Fixed or mobile camera,18057,Camera
2023,NT,Unknown,17-25,Police issued,5,Police
2023,NT,Unknown,26-39,Police issued,6,Police
2023,NT,Unknown,40-64,Police issued,5,Police
2023,SA,Unknown,0-16,Police issued,0,Police
2023,SA,Unknown,17-25,Police issued,150,Police
2023,SA,Unknown,26-39,Police issued,239,Police
2023,SA,Unknown,40-64,Police issued,177,Police
2023,SA,Unknown,65 and over,Police issued,24,Police
2023,SA,Unknown,Unknown,Police issued,0,Police
2023,TAS,Unknown,0-16,Police issued,0,Police
2023,TAS,Unknown,17-25,Police issued,29,Police
2023,TAS,Unknown,26-39,Police issued,43,Police
2023,TAS,Unknown,40-64,Police issued,35,Police
2023,TAS,Unknown,65 and over,Police issued,5,Police
2023,VIC,Inner Regional Australia,0-16,Police issued,1,Police
2023,VIC,Inner Regional Australia,17-25,Police issued,26,Police
2023,VIC,Inner Regional Australia,26-39,Police issued,55,Police
2023,VIC,Inner Regional Australia,40-64,Police issued,40,Police
2023,VIC,Inner Regional Australia,65 and over,Police issued,7,Police
2023,VIC,Major Cities of Australia,17-25,Police issued,248,Police
2023,VIC,Major Cities of Australia,26-39,Police issued,586,Police
2023,VIC,Major Cities of Australia,40-64,Police issued,445,Police
2023,VIC,Major Cities of Australia,65 and over,Police issued,59,Police
2023,VIC,Outer Regional Australia,17-25,Police issued,2,Police
2023,VIC,Outer Regional Australia,26-39,Police issued,12,Police
2023,VIC,Outer Regional Australia,40-64,Police issued,8,Police
2023,VIC,Outer Regional Australia,65 and over,Police issued,2,Police
2023,VIC,Unknown,26-39,Police issued,2,Police
2023,VIC,Unknown,40-64,Police issued,1,Police
2023,WA,Unknown,17-25,Police issued,69,Police
2023,WA,Unknown,17-25,Unknown,0,Unknown
2023,WA,Unknown,26-39,Police issued,155,Police
2023,WA,Unknown,26-39,Unknown,0,Unknown
2023,WA,Unknown,40-64,Police issued,125,Police
2023,WA,Unknown,40-64,Unknown,0,Unknown
2023,WA,Unknown,65 and over,Police issued,19,Police
2023,WA,Unknown,65 and over,Unknown,0,Unknown
2023,ACT,Major Cities of Australia,0-16,Police issued,1,Police
2023,ACT,Major Cities of Australia,17-25,Police issued,12,Police
2023,ACT,Major Cities of Australia,26-39,Police issued,14,Police
2023,ACT,Major Cities of Australia,40-64,Police issued,1,Police
2023,NSW,Inner Regional Australia,17-25,Police issued,37,Police
2023,NSW,Inner Regional Australia,26-39,Police issued,67,Police
2023,NSW,Inner Regional Australia,40-64,Police issued,51,Police
2023,NSW,Inner Regional Australia,65 and over,Police issued,5,Police
2023,NSW,Major Cities of Australia,17-25,Police issued,283,Police
2023,NSW,Major Cities of Australia,26-39,Police issued,405,Police
2023,NSW,Major Cities of Australia,40-64,Police issued,303,Police
2023,NSW,Major Cities of Australia,65 and over,Police issued,23,Police
2023,NSW,Outer Regional Australia,17-25,Police issued,6,Police
2023,NSW,Outer Regional Australia,26-39,Police issued,13,Police
2023,NSW,Outer Regional Australia,40-64,Police issued,11,Police
2023,NSW,Outer Regional Australia,65 and over,Police issued,2,Police
2023,NSW,Remote Australia,26-39,Police issued,2,Police
2023,NSW,Unknown,Unknown,Fixed or mobile camera,20102,Camera
2023,NT,Unknown,17-25,Police issued,4,Police
2023,NT,Unknown,26-39,Police issued,6,Police
2023,NT,Unknown,40-64,Police issued,5,Police
2023,NT,Unknown,65 and over,Police issued,0,Police
2023,SA,Unknown,0-16,Police issued,0,Police
2023,SA,Unknown,17-25,Police issued,153,Police
2023,SA,Unknown,26-39,Police issued,228,Police
2023,SA,Unknown,40-64,Police issued,198,Police
2023,SA,Unknown,65 and over,Police issued,34,Police
2023,SA,Unknown,Unknown,Police issued,0,Police
2023,TAS,Unknown,17-25,Police issued,44,Police
2023,TAS,Unknown,26-39,Police issued,44,Police
2023,TAS,Unknown,40-64,Police issued,34,Police
2023,TAS,Unknown,65 and over,Police issued,6,Police
2023,VIC,Inner Regional Australia,17-25,Police issued,55,Police
2023,VIC,Inner Regional Australia,26-39,Police issued,74,Police
2023,VIC,Inner Regional Australia,40-64,Police issued,53,Police
2023,VIC,Inner Regional Australia,65 and over,Police issued,9,Police
2023,VIC,Major Cities of Australia,0-16,Police issued,1,Police
2023,VIC,Major Cities of Australia,17-25,Police issued,309,Police
2023,VIC,Major Cities of Australia,26-39,Police issued,646,Police
2023,VIC,Major Cities of Australia,40-64,Police issued,536,Police
2023,VIC,Major Cities of Australia,65 and over,Police issued,59,Police
2023,VIC,Major Cities of Australia,Unknown,Police issued,1,Police
2023,VIC,Outer Regional Australia,17-25,Police issued,11,Police
2023,VIC,Outer Regional Australia,26-39,Police issued,29,Police
2023,VIC,Outer Regional Australia,40-64,Police issued,15,Police
2023,VIC,Outer Regional Australia,65 and over,Police issued,3,Police
2023,WA,Unknown,17-25,Police issued,76,Police
2023,WA,Unknown,17-25,Unknown,0,Unknown
2023,WA,Unknown,26-39,Police issued,184,Police
2023,WA,Unknown,26-39,Unknown,0,Unknown
2023,WA,Unknown,40-64,Police issued,166,Police
2023,WA,Unknown,40-64,Unknown,0,Unknown
2023,WA,Unknown,65 and over,Police issued,21,Police
2023,ACT,Major Cities of Australia,0-16,Police issued,2,Police
2023,ACT,Major Cities of Australia,17-25,Police issued,7,Police
2023,ACT,Major Cities of Australia,26-39,Police issued,11,Police
2023,ACT,Major Cities of Australia,40-64,Police issued,6,Police
2023,ACT,Major Cities of Australia,65 and over,Police issued,2,Police
2023,NSW,Inner Regional Australia,0-16,Police issued,1,Police
2023,NSW,Inner Regional Australia,17-25,Police issued,39,Police
2023,NSW,Inner Regional Australia,26-39,Police issued,68,Police
2023,NSW,Inner Regional Australia,40-64,Police issued,38,Police
2023,NSW,Inner Regional Australia,65 and over,Police issued,5,Police
2023,NSW,Major Cities of Australia,0-16,Police issued,1,Police
2023,NSW,Major Cities of Australia,17-25,Police issued,348,Police
2023,NSW,Major Cities of Australia,26-39,Police issued,384,Police
2023,NSW,Major Cities of Australia,40-64,Police issued,257,Police
2023,NSW,Major Cities of Australia,65 and over,Police issued,31,Police
2023,NSW,Outer Regional Australia,17-25,Police issued,4,Police
2023,NSW,Outer Regional Australia,26-39,Police issued,9,Police
2023,NSW,Outer Regional Australia,40-64,Police issued,6,Police
2023,NSW,Outer Regional Australia,65 and over,Police issued,1,Police
2023,NSW,Unknown,17-25,Police issued,1,Police
2023,NSW,Unknown,Unknown,Fixed or mobile camera,16973,Camera
2023,NSW,Very Remote Australia,17-25,Police issued,1,Police
2023,NT,Unknown,17-25,Police issued,2,Police
2023,NT,Unknown,26-39,Police issued,11,Police
2023,NT,Unknown,40-64,Police issued,3,Police
2023,NT,Unknown,65 and over,Police issued,0,Police
2023,SA,Unknown,0-16,Police issued,0,Police
2023,SA,Unknown,17-25,Police issued,122,Police
2023,SA,Unknown,26-39,Police issued,184,Police
2023,SA,Unknown,40-64,Police issued,135,Police
2023,SA,Unknown,65 and over,Police issued,25,Police
2023,SA,Unknown,Unknown,Police issued,0,Police
2023,TAS,Unknown,17-25,Police issued,32,Police
2023,TAS,Unknown,26-39,Police issued,70,Police
2023,TAS,Unknown,40-64,Police issued,44,Police
2023,TAS,Unknown,65 and over,Police issued,4,Police
2023,VIC,Inner Regional Australia,17-25,Police issued,21,Police
2023,VIC,Inner Regional Australia,26-39,Police issued,56,Police
2023,VIC,Inner Regional Australia,40-64,Police issued,68,Police
2023,VIC,Inner Regional Australia,65 and over,Police issued,7,Police
2023,VIC,Major Cities of Australia,17-25,Police issued,232,Police
2023,VIC,Major Cities of Australia,26-39,Police issued,608,Police
2023,VIC,Major Cities of Australia,40-64,Police issued,455,Police
2023,VIC,Major Cities of Australia,65 and over,Police issued,60,Police
2023,VIC,Major Cities of Australia,Unknown,Police issued,1,Police
2023,VIC,Outer Regional Australia,17-25,Police issued,5,Police
2023,VIC,Outer Regional Australia,26-39,Police issued,9,Police
2023,VIC,Outer Regional Australia,40-64,Police issued,6,Police
2023,VIC,Outer Regional Australia,65 and over,Police issued,1,Police
2023,VIC,Unknown,26-39,Police issued,2,Police
2023,VIC,Unknown,40-64,Police issued,1,Police
2023,WA,Unknown,17-25,Police issued,63,Police
2023,WA,Unknown,17-25,Unknown,0,Unknown
2023,WA,Unknown,26-39,Police issued,136,Police
2023,WA,Unknown,26-39,Unknown,0,Unknown
2023,WA,Unknown,40-64,Police issued,90,Police
2023,WA,Unknown,40-64,Unknown,0,Unknown
2023,WA,Unknown,65 and over,Police issued,12,Police
2023,WA,Unknown,65 and over,Unknown,0,Unknown
2023,ACT,Major Cities of Australia,0-16,Police issued,3,Police
2023,ACT,Major Cities of Australia,17-25,Police issued,5,Police
2023,ACT,Major Cities of Australia,26-39,Police issued,9,Police
2023,ACT,Major Cities of Australia,40-64,Police issued,8,Police
2023,NSW,Inner Regional Australia,0-16,Police issued,2,Police
2023,NSW,Inner Regional Australia,17-25,Police issued,36,Police
2023,NSW,Inner Regional Australia,26-39,Police issued,47,Police
2023,NSW,Inner Regional Australia,40-64,Police issued,35,Police
2023,NSW,Inner Regional Australia,65 and over,Police issued,8,Police
2023,NSW,Major Cities of Australia,17-25,Police issued,330,Police
2023,NSW,Major Cities of Australia,26-39,Police issued,356,Police
2023,NSW,Major Cities of Australia,40-64,Police issued,267,Police
2023,NSW,Major Cities of Australia,65 and over,Police issued,40,Police
2023,NSW,Outer Regional Australia,0-16,Police issued,0,Police
2023,NSW,Outer Regional Australia,17-25,Police issued,3,Police
2023,NSW,Outer Regional Australia,26-39,Police issued,13,Police
2023,NSW,Outer Regional Australia,40-64,Police issued,9,Police
2023,NSW,Remote Australia,26-39,Police issued,1,Police
2023,NSW,Remote Australia,65 and over,Police issued,1,Police
2023,NSW,Unknown,17-25,Police issued,2,Police
2023,NSW,Unknown,26-39,Police issued,2,Police
2023,NSW,Unknown,Unknown,Fixed or mobile camera,19048,Camera
2023,NT,Unknown,17-25,Police issued,4,Police
2023,NT,Unknown,26-39,Police issued,10,Police
2023,NT,Unknown,40-64,Police issued,3,Police
2023,NT,Unknown,65 and over,Police issued,1,Police
2023,SA,Unknown,0-16,Police issued,0,Police
2023,SA,Unknown,17-25,Police issued,105,Police
2023,SA,Unknown,26-39,Police issued,194,Police
2023,SA,Unknown,40-64,Police issued,187,Police
2023,SA,Unknown,65 and over,Police issued,20,Police
2023,SA,Unknown,Unknown,Police issued,0,Police
2023,TAS,Unknown,17-25,Police issued,29,Police
2023,TAS,Unknown,26-39,Police issued,68,Police
2023,NSW,Remote Australia,26-39,Police issued,1,Police
2023,NSW,Unknown,17-25,Police issued,4,Police
2023,NSW,Unknown,26-39,Police issued,1,Police
2023,NSW,Unknown,Unknown,Fixed or mobile camera,16242,Camera
2023,NSW,Very Remote Australia,40-64,Police issued,1,Police
2023,NT,Unknown,17-25,Police issued,2,Police
2023,NT,Unknown,26-39,Police issued,6,Police
2023,NT,Unknown,40-64,Police issued,10,Police
2023,NT,Unknown,65 and over,Police issued,2,Police
2023,SA,Unknown,0-16,Police issued,0,Police
2023,SA,Unknown,17-25,Police issued,108,Police
2023,SA,Unknown,26-39,Police issued,187,Police
2023,SA,Unknown,40-64,Police issued,148,Police
2023,SA,Unknown,65 and over,Police issued,29,Police
2023,SA,Unknown,Unknown,Police issued,0,Police
2023,TAS,Unknown,17-25,Fixed or mobile camera,1,Camera
2023,TAS,Unknown,17-25,Police issued,29,Police
2023,TAS,Unknown,26-39,Fixed or mobile camera,11,Camera
2023,TAS,Unknown,26-39,Police issued,55,Police
2023,TAS,Unknown,40-64,Fixed or mobile camera,16,Camera
2023,TAS,Unknown,40-64,Police issued,35,Police
2023,TAS,Unknown,65 and over,Police issued,8,Police
2023,VIC,Inner Regional Australia,17-25,Police issued,36,Police
2023,VIC,Inner Regional Australia,26-39,Police issued,72,Police
2023,VIC,Inner Regional Australia,40-64,Police issued,57,Police
2023,VIC,Inner Regional Australia,65 and over,Police issued,5,Police
2023,VIC,Inner Regional Australia,Unknown,Mobile camera,295,Camera
2023,VIC,Inner Regional Australia,Unknown,Police issued,1,Police
2023,VIC,Major Cities of Australia,17-25,Police issued,246,Police
2023,VIC,Major Cities of Australia,26-39,Police issued,686,Police
2023,VIC,Major Cities of Australia,40-64,Police issued,546,Police
2023,VIC,Major Cities of Australia,65 and over,Police issued,51,Police
2023,VIC,Major Cities of Australia,Unknown,Mobile camera,3882,Camera
2023,VIC,Major Cities of Australia,Unknown,Police issued,1,Police
2023,VIC,Outer Regional Australia,17-25,Police issued,11,Police
2023,VIC,Outer Regional Australia,26-39,Police issued,28,Police
2023,VIC,Outer Regional Australia,40-64,Police issued,22,Police
2023,VIC,Outer Regional Australia,65 and over,Police issued,1,Police
2023,VIC,Unknown,17-25,Police issued,5,Police
2023,VIC,Unknown,26-39,Police issued,4,Police
2023,VIC,Unknown,40-64,Police issued,7,Police
2023,VIC,Unknown,Unknown,Mobile camera,560,Camera
2023,WA,Unknown,17-25,Police issued,48,Police
2023,WA,Unknown,17-25,Unknown,0,Unknown
2023,WA,Unknown,26-39,Police issued,107,Police
2023,WA,Unknown,26-39,Unknown,0,Unknown
2023,WA,Unknown,40-64,Police issued,96,Police
2023,WA,Unknown,40-64,Unknown,0,Unknown
2023,WA,Unknown,65 and over,Police issued,3,Police
2023,ACT,Major Cities of Australia,17-25,Police issued,5,Police
2023,ACT,Major Cities of Australia,26-39,Police issued,10,Police
2023,ACT,Major Cities of Australia,40-64,Police issued,10,Police
2023,ACT,Major Cities of Australia,65 and over,Police issued,1,Police
2023,NSW,Inner Regional Australia,0-16,Police issued,1,Police
2023,NSW,Inner Regional Australia,17-25,Police issued,35,Police
2023,NSW,Inner Regional Australia,26-39,Police issued,55,Police
2023,NSW,Inner Regional Australia,40-64,Police issued,43,Police
2023,NSW,Inner Regional Australia,65 and over,Police issued,5,Police
2023,NSW,Major Cities of Australia,0-16,Police issued,1,Police
2023,NSW,Major Cities of Australia,17-25,Police issued,257,Police
2023,NSW,Major Cities of Australia,26-39,Police issued,290,Police
2023,NSW,Major Cities of Australia,40-64,Police issued,195,Police
2023,NSW,Major Cities of Australia,65 and over,Police issued,19,Police
2023,NSW,Outer Regional Australia,17-25,Police issued,12,Police
2023,NSW,Outer Regional Australia,26-39,Police issued,8,Police
2023,NSW,Outer Regional Australia,40-64,Police issued,9,Police
2023,NSW,Remote Australia,65 and over,Police issued,1,Police
2023,NSW,Unknown,17-25,Police issued,1,Police
2023,NSW,Unknown,Unknown,Fixed or mobile camera,16198,Camera
2023,NT,Unknown,17-25,Police issued,4,Police
2023,NT,Unknown,26-39,Police issued,6,Police
2023,NT,Unknown,40-64,Police issued,2,Police
2023,NT,Unknown,65 and over,Police issued,1,Police
2023,SA,Unknown,0-16,Police issued,0,Police
2023,SA,Unknown,17-25,Police issued,107,Police
2023,SA,Unknown,26-39,Police issued,178,Police
2023,SA,Unknown,40-64,Police issued,171,Police
2023,SA,Unknown,65 and over,Police issued,37,Police
2023,SA,Unknown,Unknown,Police issued,0,Police
2023,TAS,Unknown,17-25,Fixed or mobile camera,12,Camera
2023,TAS,Unknown,17-25,Police issued,21,Police
2023,TAS,Unknown,26-39,Fixed or mobile camera,38,Camera
2023,TAS,Unknown,26-39,Police issued,44,Police
2023,TAS,Unknown,40-64,Fixed or mobile camera,54,Camera
2023,TAS,Unknown,40-64,Police issued,32,Police
2023,TAS,Unknown,65 and over,Fixed or mobile camera,6,Camera
2023,TAS,Unknown,65 and over,Police issued,7,Police
2023,VIC,Inner Regional Australia,17-25,Police issued,30,Police
2023,VIC,Inner Regional Australia,26-39,Police issued,65,Police
2023,VIC,Inner Regional Australia,40-64,Police issued,36,Police
2023,VIC,Inner Regional Australia,65 and over,Police issued,4,Police
2023,VIC,Inner Regional Australia,Unknown,Mobile camera,274,Camera
2023,VIC,Major Cities of Australia,17-25,Police issued,256,Police
2023,VIC,Major Cities of Australia,26-39,Police issued,608,Police
2023,VIC,Major Cities of Australia,40-64,Police issued,412,Police
2023,VIC,Major Cities of Australia,65 and over,Police issued,47,Police
2023,VIC,Major Cities of Australia,Unknown,Mobile camera,4933,Camera
2023,VIC,Major Cities of Australia,Unknown,Police issued,1,Police
2023,VIC,Outer Regional Australia,17-25,Police issued,12,Police
2023,VIC,Outer Regional Australia,26-39,Police issued,13,Police
2023,VIC,Outer Regional Australia,40-64,Police issued,11,Police
2023,VIC,Outer Regional Australia,65 and over,Police issued,5,Police
2023,VIC,Unknown,17-25,Police issued,1,Police
2023,VIC,Unknown,26-39,Police issued,6,Police
2023,VIC,Unknown,40-64,Police issued,2,Police
2023,WA,Unknown,17-25,Police issued,42,Police
2023,WA,Unknown,17-25,Unknown,0,Unknown
2023,WA,Unknown,26-39,Police issued,64,Police
2023,WA,Unknown,26-39,Unknown,0,Unknown
2023,WA,Unknown,40-64,Police issued,65,Police
2023,WA,Unknown,40-64,Unknown,0,Unknown
2023,WA,Unknown,65 and over,Police issued,12,Police
2023,WA,Unknown,65 and over,Unknown,0,Unknown
2023,ACT,Major Cities of Australia,0-16,Police issued,1,Police
2023,ACT,Major Cities of Australia,17-25,Police issued,4,Police
2023,ACT,Major Cities of Australia,26-39,Police issued,15,Police
2023,ACT,Major Cities of Australia,40-64,Police issued,5,Police
2023,NSW,Inner Regional Australia,17-25,Police issued,49,Police
2023,NSW,Inner Regional Australia,26-39,Police issued,62,Police
2023,NSW,Inner Regional Australia,40-64,Police issued,40,Police
2023,NSW,Inner Regional Australia,65 and over,Police issued,2,Police
2023,NSW,Major Cities of Australia,0-16,Police issued,1,Police
2023,NSW,Major Cities of Australia,17-25,Police issued,264,Police
2023,NSW,Major Cities of Australia,26-39,Police issued,336,Police
2023,NSW,Major Cities of Australia,40-64,Police issued,225,Police
2023,NSW,Major Cities of Australia,65 and over,Police issued,15,Police
2023,NSW,Outer Regional Australia,17-25,Police issued,10,Police
2023,NSW,Outer Regional Australia,26-39,Police issued,7,Police
2023,NSW,Outer Regional Australia,40-64,Police issued,9,Police
2023,NSW,Remote Australia,17-25,Police issued,2,Police
2023,NSW,Remote Australia,26-39,Police issued,2,Police
2023,NSW,Unknown,17-25,Police issued,2,Police
2023,NSW,Unknown,26-39,Police issued,4,Police
2023,NSW,Unknown,65 and over,Police issued,1,Police
2023,NSW,Unknown,Unknown,Fixed or mobile camera,15740,Camera
2023,NSW,Very Remote Australia,26-39,Police issued,1,Police
2023,NT,Unknown,17-25,Police issued,5,Police
2023,NT,Unknown,26-39,Police issued,8,Police
2023,NT,Unknown,40-64,Police issued,5,Police
2023,NT,Unknown,65 and over,Police issued,1,Police
2023,SA,Unknown,0-16,Police issued,0,Police
2023,SA,Unknown,17-25,Police issued,117,Police
2023,SA,Unknown,26-39,Police issued,169,Police
2023,SA,Unknown,40-64,Police issued,136,Police
2023,SA,Unknown,65 and over,Police issued,33,Police
2023,SA,Unknown,Unknown,Police issued,0,Police
2023,TAS,Unknown,17-25,Fixed or mobile camera,27,Camera
2023,TAS,Unknown,17-25,Police issued,35,Police
2023,TAS,Unknown,26-39,Fixed or mobile camera,123,Camera
2023,TAS,Unknown,26-39,Police issued,41,Police
2023,TAS,Unknown,40-64,Fixed or mobile camera,110,Camera
2023,TAS,Unknown,40-64,Police issued,47,Police
2023,TAS,Unknown,65 and over,Fixed or mobile camera,16,Camera
2023,TAS,Unknown,65 and over,Police issued,5,Police
2023,VIC,Inner Regional Australia,17-25,Mobile camera,37,Camera
2023,VIC,Inner Regional Australia,17-25,Police issued,38,Police
2023,VIC,Inner Regional Australia,26-39,Mobile camera,155,Camera
2023,VIC,Inner Regional Australia,26-39,Police issued,87,Police
2023,VIC,Inner Regional Australia,40-64,Mobile camera,175,Camera
2023,VIC,Inner Regional Australia,40-64,Police issued,64,Police
2023,VIC,Inner Regional Australia,65 and over,Mobile camera,27,Camera
2023,VIC,Inner Regional Australia,65 and over,Police issued,6,Police
2023,VIC,Inner Regional Australia,Unknown,Mobile camera,329,Camera
2023,VIC,Major Cities of Australia,17-25,Mobile camera,261,Camera
2023,VIC,Major Cities of Australia,17-25,Police issued,228,Police
2023,VIC,Major Cities of Australia,26-39,Mobile camera,1466,Camera
2023,VIC,Major Cities of Australia,26-39,Police issued,565,Police
2023,VIC,Major Cities of Australia,40-64,Mobile camera,1753,Camera
2023,VIC,Major Cities of Australia,40-64,Police issued,425,Police
2023,VIC,Major Cities of Australia,65 and over,Mobile camera,255,Camera
2023,VIC,Major Cities of Australia,65 and over,Police issued,39,Police
2023,VIC,Major Cities of Australia,Unknown,Mobile camera,1786,Camera
2023,VIC,Outer Regional Australia,17-25,Police issued,8,Police
2023,TAS,Unknown,40-64,Police issued,42,Police
2023,TAS,Unknown,65 and over,Police issued,6,Police
2023,VIC,Inner Regional Australia,17-25,Police issued,30,Police
2023,VIC,Inner Regional Australia,26-39,Police issued,93,Police
2023,VIC,Inner Regional Australia,40-64,Police issued,62,Police
2023,VIC,Inner Regional Australia,65 and over,Police issued,12,Police
2023,VIC,Major Cities of Australia,17-25,Police issued,252,Police
2023,VIC,Major Cities of Australia,26-39,Police issued,518,Police
2023,VIC,Major Cities of Australia,40-64,Police issued,405,Police
2023,VIC,Major Cities of Australia,65 and over,Police issued,42,Police
2023,VIC,Major Cities of Australia,Unknown,Police issued,3,Police
2023,VIC,Outer Regional Australia,17-25,Police issued,10,Police
2023,VIC,Outer Regional Australia,26-39,Police issued,21,Police
2023,VIC,Outer Regional Australia,40-64,Police issued,10,Police
2023,VIC,Outer Regional Australia,65 and over,Police issued,1,Police
2023,VIC,Unknown,17-25,Police issued,1,Police
2023,VIC,Unknown,26-39,Police issued,1,Police
2023,WA,Unknown,17-25,Police issued,69,Police
2023,WA,Unknown,17-25,Unknown,0,Unknown
2023,WA,Unknown,26-39,Police issued,171,Police
2023,WA,Unknown,26-39,Unknown,0,Unknown
2023,WA,Unknown,40-64,Police issued,121,Police
2023,WA,Unknown,40-64,Unknown,0,Unknown
2023,WA,Unknown,65 and over,Police issued,17,Police
2023,WA,Unknown,65 and over,Unknown,0,Unknown
2023,ACT,Major Cities of Australia,0-16,Police issued,2,Police
2023,ACT,Major Cities of Australia,17-25,Police issued,5,Police
2023,ACT,Major Cities of Australia,26-39,Police issued,9,Police
2023,ACT,Major Cities of Australia,40-64,Police issued,7,Police
2023,NSW,Inner Regional Australia,17-25,Police issued,48,Police
2023,NSW,Inner Regional Australia,26-39,Police issued,71,Police
2023,NSW,Inner Regional Australia,40-64,Police issued,60,Police
2023,NSW,Inner Regional Australia,65 and over,Police issued,6,Police
2023,NSW,Major Cities of Australia,17-25,Police issued,338,Police
2023,NSW,Major Cities of Australia,26-39,Police issued,401,Police
2023,NSW,Major Cities of Australia,40-64,Police issued,333,Police
2023,NSW,Major Cities of Australia,65 and over,Police issued,24,Police
2023,NSW,Outer Regional Australia,17-25,Police issued,5,Police
2023,NSW,Outer Regional Australia,26-39,Police issued,6,Police
2023,NSW,Outer Regional Australia,40-64,Police issued,12,Police
2023,NSW,Outer Regional Australia,65 and over,Police issued,1,Police
2023,NSW,Remote Australia,26-39,Police issued,2,Police
2023,NSW,Unknown,17-25,Police issued,2,Police
2023,NSW,Unknown,40-64,Police issued,1,Police
2023,NSW,Unknown,Unknown,Fixed or mobile camera,16286,Camera
2023,NSW,Very Remote Australia,40-64,Police issued,1,Police
2023,NT,Unknown,17-25,Police issued,1,Police
2023,NT,Unknown,26-39,Police issued,2,Police
